datetime,cpu_predicted,cpu_lower_95,cpu_upper_95,conformal_margin
2018-01-07 22:45:00,30.37519214877308,22.67414410985309,38.076240187693074,7.701048038919994
2018-01-07 22:50:00,30.91718351994324,23.216135481023247,38.618231558863236,7.701048038919994
2018-01-07 22:55:00,30.24090398453636,22.539855945616367,37.94195202345635,7.701048038919994
2018-01-07 23:00:00,31.708924968175282,24.00787692925529,39.409973007095275,7.701048038919994
2018-01-07 23:05:00,30.29839485650623,22.59734681758624,37.99944289542623,7.701048038919994
2018-01-07 23:10:00,30.879289801218793,23.1782417622988,38.58033784013879,7.701048038919994
2018-01-07 23:15:00,28.298015359282818,20.596967320362825,35.999063398202814,7.701048038919994
2018-01-07 23:20:00,28.2410950325579,20.540046993637908,35.942143071477894,7.701048038919994
2018-01-07 23:25:00,27.69436725553097,19.993319216610978,35.39541529445096,7.701048038919994
2018-01-07 23:30:00,26.812779709793904,19.111731670873912,34.5138277487139,7.701048038919994
2018-01-07 23:35:00,25.541736279050852,17.84068824013086,33.242784317970845,7.701048038919994
2018-01-07 23:40:00,31.31539168101649,23.614343642096497,39.016439719936486,7.701048038919994
2018-01-07 23:45:00,27.71948227958894,20.01843424066895,35.42053031850894,7.701048038919994
2018-01-07 23:50:00,26.7231147769366,19.02206673801661,34.4241628158566,7.701048038919994
2018-01-07 23:55:00,26.022238978012997,18.321190939093004,33.72328701693299,7.701048038919994
2018-01-08 00:00:00,30.246829514259268,22.545781475339275,37.94787755317926,7.701048038919994
2018-01-08 00:05:00,28.131780127193007,20.430732088273015,35.832828166113,7.701048038919994
2018-01-08 00:10:00,34.78568946181372,27.084641422893725,42.48673750073371,7.701048038919994
2018-01-08 00:15:00,35.91275147234289,28.211703433422898,43.61379951126288,7.701048038919994
2018-01-08 00:20:00,35.65708775522758,27.956039716307586,43.35813579414757,7.701048038919994
2018-01-08 00:25:00,36.0652401011768,28.364192062256805,43.76628814009679,7.701048038919994
2018-01-08 00:30:00,36.087388572378075,28.386340533458082,43.78843661129807,7.701048038919994
2018-01-08 00:35:00,30.54734650665138,22.846298467731387,38.24839454557137,7.701048038919994
2018-01-08 00:40:00,30.88160036160906,23.180552322689067,38.58264840052905,7.701048038919994
2018-01-08 00:45:00,32.60470161105752,24.90365357213753,40.305749649977514,7.701048038919994
2018-01-08 00:50:00,31.165770346230985,23.464722307310993,38.86681838515098,7.701048038919994
2018-01-08 00:55:00,30.650340235909226,22.949292196989234,38.35138827482922,7.701048038919994
2018-01-08 01:00:00,35.03161805661067,27.330570017690675,42.73266609553066,7.701048038919994
2018-01-08 01:05:00,36.12146376891283,28.42041572999284,43.822511807832825,7.701048038919994
2018-01-08 01:10:00,32.76331768708814,25.062269648168147,40.46436572600813,7.701048038919994
2018-01-08 01:15:00,36.59604927878809,28.895001239868094,44.29709731770808,7.701048038919994
2018-01-08 01:20:00,35.579133142540336,27.878085103620343,43.28018118146033,7.701048038919994
2018-01-08 01:25:00,36.99797846477797,29.29693042585798,44.699026503697965,7.701048038919994
2018-01-08 01:30:00,34.40263923310479,26.7015911941848,42.103687272024786,7.701048038919994
2018-01-08 01:35:00,34.46485168481367,26.763803645893674,42.16589972373366,7.701048038919994
2018-01-08 01:40:00,33.35533534178199,25.654287302861995,41.05638338070198,7.701048038919994
2018-01-08 01:45:00,35.80716298879063,28.106114949870637,43.50821102771062,7.701048038919994
2018-01-08 01:50:00,36.00863186634033,28.307583827420338,43.70967990526032,7.701048038919994
2018-01-08 01:55:00,36.15990340790344,28.45885536898345,43.860951446823435,7.701048038919994
2018-01-08 02:00:00,43.32839690208629,35.6273488631663,51.02944494100628,7.701048038919994
2018-01-08 02:05:00,43.21973984904705,35.51869181012706,50.920787887967045,7.701048038919994
2018-01-08 02:10:00,39.9540308390244,32.252982800104405,47.65507887794439,7.701048038919994
2018-01-08 02:15:00,35.843418206882575,28.142370167962582,43.54446624580257,7.701048038919994
2018-01-08 02:20:00,36.76200202107859,29.060953982158594,44.46305005999858,7.701048038919994
2018-01-08 02:25:00,35.2442273019321,27.543179263012107,42.94527534085209,7.701048038919994
2018-01-08 02:30:00,37.110285489087225,29.409237450167232,44.81133352800722,7.701048038919994
2018-01-08 02:35:00,33.85347157990063,26.152423540980635,41.55451961882062,7.701048038919994
2018-01-08 02:40:00,34.71317471788926,27.012126678969267,42.41422275680925,7.701048038919994
2018-01-08 02:45:00,37.21146439527913,29.510416356359137,44.91251243419912,7.701048038919994
2018-01-08 02:50:00,33.65054232581286,25.949494286892865,41.35159036473285,7.701048038919994
2018-01-08 02:55:00,32.25193183252682,24.55088379360683,39.952979871446814,7.701048038919994
2018-01-08 03:00:00,37.67145099109336,29.970402952173366,45.37249903001335,7.701048038919994
2018-01-08 03:05:00,40.45143988187983,32.750391842959836,48.15248792079982,7.701048038919994
2018-01-08 03:10:00,37.48497248267898,29.783924443758984,45.18602052159897,7.701048038919994
2018-01-08 03:15:00,40.24135879662172,32.540310757701725,47.94240683554171,7.701048038919994
2018-01-08 03:20:00,38.164008254772334,30.46296021585234,45.86505629369233,7.701048038919994
2018-01-08 03:25:00,34.90584844677262,27.20480040785263,42.606896485692616,7.701048038919994
2018-01-08 03:30:00,34.75265061946554,27.05160258054555,42.453698658385534,7.701048038919994
