datetime,cpu_actual,cpu_predicted_setar,carbon_intensity
2018-01-07 19:10:00,38.2286910393528,37.941996875700575,472.9984552324891
2018-01-07 19:15:00,36.473851981351984,38.02514043418556,471.8648128368135
2018-01-07 19:20:00,34.55179292929293,36.74158185014413,466.62441097159444
2018-01-07 19:25:00,30.675238095238093,35.01301117312569,467.14296984183665
2018-01-07 19:30:00,32.71724153297683,31.76924640064891,470.9559809320954
2018-01-07 19:35:00,33.07894230769231,32.744683133541265,475.871312527321
2018-01-07 19:40:00,30.018909685086157,33.326698870041334,478.4939292325308
2018-01-07 19:45:00,30.90958208458208,31.047965323273182,473.4992051353237
2018-01-07 19:50:00,31.37922077922078,31.268082560148795,464.69580232403075
2018-01-07 19:55:00,31.665451127819544,31.759717308842898,457.63115123596157
2018-01-07 20:00:00,31.63948717948718,32.04837544092159,450.68220343971683
2018-01-07 20:05:00,34.43030386280387,32.07150842012521,464.40148517377224
2018-01-07 20:10:00,33.00661671661672,34.19534355082777,467.642482006771
2018-01-07 20:15:00,36.59803807303807,33.528477648287605,417.05995592030035
2018-01-07 20:20:00,34.298159340659346,36.053070351124006,427.6718338083857
2018-01-07 20:25:00,35.14860916860916,34.83826503896545,429.4298636081471
2018-01-07 20:30:00,36.69024531024532,35.14172209454552,427.3724294623087
2018-01-07 20:35:00,33.0040854978355,36.44461926189541,419.7226286429903
2018-01-07 20:40:00,34.37386363636364,33.86548724972365,435.55384748511847
2018-01-07 20:45:00,33.95726190476191,34.356971776941975,446.0051839461439
2018-01-07 20:50:00,32.934925074925076,34.24478837225526,428.7273760290856
2018-01-07 20:55:00,25.925530303030303,33.40287422113491,431.3872526677118
2018-01-07 21:00:00,33.80429487179487,28.776056834537965,412.618350428311
2018-01-07 21:05:00,38.40746392496393,32.86110939382371,390.20120318593274
2018-01-07 21:10:00,34.88791486291486,37.55221685878012,382.1021138865099
2018-01-07 21:15:00,34.671330989272164,35.55926926560098,397.22367434346415
2018-01-07 21:20:00,35.35419552669552,34.866293226203595,411.11517281292345
