cpu_actual,cpu_predicted_msar
38.2286910393528,29.592136450456618
36.473851981351984,37.67507591806066
34.55179292929293,36.677194730978115
30.675238095238093,34.986867848927346
32.71724153297683,31.87799525444725
33.07894230769231,32.72252659232886
30.018909685086157,33.26769529773957
30.90958208458208,31.07917018867898
31.37922077922078,31.23571553402771
31.665451127819544,31.71220007306954
31.63948717948718,31.999438879133518
34.43030386280387,32.02238030506874
33.00661671661672,34.18490390372481
36.59803807303807,33.47597086152712
34.298159340659346,36.06770988967418
35.14860916860916,34.79604127558991
36.69024531024532,35.0865832385487
33.0040854978355,36.38544894209801
34.37386363636364,33.91467175562806
33.95726190476191,34.31577963228691
32.934925074925076,34.1815820239389
25.925530303030303,33.356621038721286
33.80429487179487,28.495467527838795
38.40746392496393,33.09412901307812
34.88791486291486,37.62819246167029
34.671330989272164,35.56255477632824
35.35419552669552,34.816824896988436
34.91340270840271,35.29166162076481
37.25795900178253,35.054704629016804
33.11915584415584,36.80274362148659
33.31173701298702,34.1163779537078
35.003972416472415,33.52401355386422
33.30336996336997,34.837567335569695
30.49766122766123,33.79634106733639
36.94170677361854,31.476837085547377
35.38241702741702,36.18926467656405
32.13701404804346,35.64345809392483
29.97386752136752,33.05745321583193
29.396868686868693,30.88712136314242
29.59428571428571,30.080147755925264
30.92247502497503,30.13452639623524
38.92024189261031,31.180157731961483
33.174897047397046,38.163546787416564
33.728699633699634,34.52345219403293
31.709444444444443,33.85425755282377
30.085921855921857,32.41259097085512
30.99653846153846,30.880850879146756
31.347425940073,31.307818093881274
26.45122782446312,31.70045893415432
25.26371212121212,28.271400611734915
25.297949134199133,26.443647553429727
24.791666666666664,26.255993231586654
25.85123543123543,25.87652454286304
37.76518674136321,26.610245452322857
32.28583333333333,37.868784038809146
29.207073367808665,33.51264594044933
27.82998418248418,30.39074419891953
26.664053030303023,28.796887194463224
24.624458874458877,27.689685217517635
35.66893217893219,25.98724007309922
37.10734692594987,35.68760692188756
34.875064935064934,36.80528702858022
34.676531801531794,35.319823431769905
34.65177156177156,34.813727070835924
31.470633484162903,34.7571420404819
30.109126984126988,32.425975180907244
32.56456349206349,30.863274021510552
29.742503607503608,32.529572936336294
28.435484603116187,30.76772612697021
27.19123224728488,29.33033023340762
33.796744236156,28.181906576989363
29.200044563279857,33.35348856909429
37.089285714285715,30.635052888128428
37.03110500610501,36.3202508907271
38.5222662425294,36.9077747281229
35.473643578643575,38.05502457183424
32.74445054945055,36.01785975804182
32.74209401709402,33.51297480553235
37.281226975638745,33.030695582732676
37.92489316239316,36.6101491362696
34.79542929292929,37.61750836101316
43.60841991341992,35.42650936720398
41.68887362637363,42.44870586604949
39.06255411255411,41.41669137978842
31.19340399796282,39.21467877761526
32.18311688311688,33.68928874913385
32.55454545454546,32.417928880738046
36.73872863247864,32.79182336131562
