ts_bucket,cpu_util_percent,mem_util_percent,mem_gps,mkpi,net_in,net_out,disk_io_percent,machine_id
0,7.6923076923076925,84.6923076923077,,,33.78,24.41,1.0,m_103
300,19.1,87.9,,,33.785,24.410000000000004,3.3,m_103
600,20.0,86.75,,,33.79,24.4175,2.4166666666666665,m_103
900,25.666666666666668,88.22222222222223,,,33.79555555555556,24.42,2.5555555555555554,m_103
1200,25.571428571428573,90.42857142857143,,,33.8,24.419999999999998,3.142857142857143,m_103
1500,25.333333333333332,90.33333333333333,,,33.803333333333335,24.423333333333336,1.6666666666666667,m_103
1800,21.75,88.08333333333333,,,33.81,24.429999999999996,2.75,m_103
2100,15.2,86.4,,,33.81,24.43,1.5,m_103
2400,19.90909090909091,87.54545454545455,,,33.81636363636364,24.430000000000003,1.2727272727272727,m_103
2700,16.0,85.63636363636364,,,33.82,24.430000000000003,1.0,m_103
3000,18.6,87.8,,,33.82,24.432,1.0,m_103
3300,16.153846153846153,87.84615384615384,,,33.823076923076925,24.44,1.3076923076923077,m_103
3600,23.22222222222222,89.77777777777777,,,33.83,24.44,1.4444444444444444,m_103
3900,20.3,89.0,,,33.83,24.44,1.0,m_103
4200,14.909090909090908,86.54545454545455,,,33.82999999999999,24.44181818181818,1.3636363636363635,m_103
4500,36.42857142857143,90.14285714285714,,,33.84,24.449999999999996,2.0,m_103
4800,27.5,81.0,,,33.84,24.45,1.5,m_103
5100,29.11111111111111,80.33333333333333,,,33.849999999999994,24.454444444444444,2.2222222222222223,m_103
5400,33.38461538461539,81.46153846153847,,,33.849999999999994,24.46,1.3076923076923077,m_103
5700,31.875,81.0,,,33.85875,24.46,2.0,m_103
6000,24.8,82.8,,,33.86,24.465,1.8,m_103
6300,26.153846153846153,81.0,,,33.86769230769231,24.470000000000002,2.923076923076923,m_103
6600,22.75,78.875,,,33.86999999999999,24.47,1.5,m_103
6900,20.5,79.5,,,33.875,24.475,3.5,m_103
7200,29.857142857142858,80.28571428571429,,,33.88142857142857,24.479999999999997,4.142857142857143,m_103
7500,35.76923076923077,80.38461538461539,,,33.89,24.48,3.3076923076923075,m_103
7800,31.25,80.58333333333333,,,33.891666666666666,24.486666666666665,1.4166666666666667,m_103
8100,36.25,80.25,,,33.9,24.49,4.25,m_103
8400,22.666666666666668,77.66666666666667,,,33.9,24.49,5.666666666666667,m_103
8700,19.5,77.33333333333333,,,33.91,24.49,4.666666666666667,m_103
9000,27.0,77.36363636363636,,,33.91,24.49818181818182,1.8181818181818181,m_103
9300,21.4,77.1,,,33.92,24.5,1.6,m_103
9600,21.53846153846154,76.92307692307692,,,33.92,24.5,1.7692307692307692,m_103
9900,20.9,77.4,,,33.922000000000004,24.5,1.6,m_103
10200,24.5,78.5,,,33.92999999999999,24.5,1.3,m_103
10500,17.444444444444443,78.66666666666667,,,33.93,24.51,1.8888888888888888,m_103
10800,24.727272727272727,79.36363636363636,,,33.93818181818182,24.51,2.090909090909091,m_103
11100,19.333333333333332,79.66666666666667,,,33.95,24.51,1.6666666666666667,m_103
11400,21.22222222222222,79.66666666666667,,,33.95444444444445,24.51,2.4444444444444446,m_103
11700,19.46153846153846,78.0,,,33.96,24.518461538461533,2.076923076923077,m_103
12000,23.4,78.5,,,33.963,24.520000000000003,2.0,m_103
12300,31.428571428571427,83.14285714285714,,,33.97,24.52,3.0,m_103
12600,20.444444444444443,78.11111111111111,,,33.97222222222222,24.519999999999996,5.0,m_103
12900,15.583333333333334,77.91666666666667,,,33.98,24.521666666666665,5.833333333333333,m_103
13200,27.555555555555557,81.33333333333333,,,33.98,24.53,3.0,m_103
13500,26.333333333333332,82.44444444444444,,,33.98333333333333,24.53,2.4444444444444446,m_103
13800,27.714285714285715,82.85714285714286,,,33.99,24.53,2.4285714285714284,m_103
14100,30.0,84.28571428571429,,,33.99857142857143,24.535714285714285,3.142857142857143,m_103
14400,28.166666666666668,83.83333333333333,,,34.0,24.540000000000003,5.333333333333333,m_103
14700,32.333333333333336,84.33333333333333,,,34.01,24.540000000000003,6.333333333333333,m_103
15000,32.333333333333336,85.16666666666667,,,34.012499999999996,24.545833333333334,4.5,m_103
15300,27.714285714285715,84.71428571428571,,,34.02,24.55,4.571428571428571,m_103
15600,24.333333333333332,84.44444444444444,,,34.02111111111112,24.55,4.333333333333333,m_103
15900,22.666666666666668,83.44444444444444,,,34.03,24.549999999999997,3.5555555555555554,m_103
16200,24.3125,84.125,,,34.03,24.559375,4.6875,m_103
16500,23.625,85.25,,,34.04,24.56,1.875,m_103
16800,21.6,83.8,,,34.03999999999999,24.56,1.2,m_103
17100,36.69230769230769,86.84615384615384,,,34.04538461538462,24.56153846153846,1.4615384615384615,m_103
17400,33.07142857142857,88.35714285714286,,,34.05,24.57,2.857142857142857,m_103
