datetime,cpu_m_1223,cpu_m_1437,cpu_m_1565,cpu_m_1617,cpu_m_1672,cpu_m_1903,cpu_m_2251,cpu_m_2544,cpu_m_3060,cpu_m_34,mem_m_1223,mem_m_1437,mem_m_1565,mem_m_1617,mem_m_1672,mem_m_1903,mem_m_2251,mem_m_2544,mem_m_3060,mem_m_34,net_in_m_1223,net_in_m_1437,net_in_m_1565,net_in_m_1617,net_in_m_1672,net_in_m_1903,net_in_m_2251,net_in_m_2544,net_in_m_3060,net_in_m_34,net_out_m_1223,net_out_m_1437,net_out_m_1565,net_out_m_1617,net_out_m_1672,net_out_m_1903,net_out_m_2251,net_out_m_2544,net_out_m_3060,net_out_m_34,disk_io_m_1223,disk_io_m_1437,disk_io_m_1565,disk_io_m_1617,disk_io_m_1672,disk_io_m_1903,disk_io_m_2251,disk_io_m_2544,disk_io_m_3060,disk_io_m_34,cpu_cluster_avg,mem_cluster_avg,net_in_cluster_avg,net_out_cluster_avg,disk_io_cluster_avg,carbon_intensity_gCO2_kWh
2018-01-01 00:00:00,25.666666666666668,19.1,8.736842105263158,12.636363636363637,38.25,28.285714285714285,0.0,34.857142857142854,15.777777777777779,15.4,86.5,91.2,82.10526315789474,76.0,83.5,92.42857142857143,3.0,96.85714285714286,94.0,87.9,33.34,36.92999999999999,36.92000000000001,35.53636363636363,58.0825,31.490000000000002,0.01,36.83,41.23,38.33,24.2,30.175,27.54,33.92636363636364,43.49,22.97,0.01,32.27,36.778888888888886,31.97,2.0,4.5,6.894736842105263,2.1818181818181817,3.0,5.142857142857143,0.0,5.285714285714286,2.111111111111111,3.7,15.700140502772083,73.9578947368421,35.29126623376624,29.127178932178932,3.1982380192906503,407.43565559266716
2018-01-01 00:05:00,25.666666666666668,29.0,21.166666666666668,21.11111111111111,53.0,28.285714285714285,0.0,34.857142857142854,28.46153846153846,20.9,86.5,94.71428571428571,86.0,78.88888888888889,85.53846153846153,92.42857142857143,3.0,96.85714285714286,96.15384615384616,89.9,33.34,36.93142857142857,36.921666666666674,35.54,58.09,31.490000000000002,0.010000000000000002,36.83,41.23692307692308,38.33,24.2,30.184285714285714,27.539999999999996,33.93111111111111,43.49153846153846,22.97,0.010000000000000002,32.27,36.78,31.971999999999998,2.0,9.857142857142858,3.0,2.6666666666666665,4.615384615384615,5.142857142857143,0.0,5.285714285714286,2.4615384615384617,3.3,24.805616605616603,76.31364032792604,35.294288330716896,29.12984789813361,3.7001046572475143,404.2421648106392
2018-01-01 00:10:00,25.666666666666668,29.875,22.0,20.25,52.44444444444444,28.285714285714285,0.0,34.857142857142854,28.333333333333332,24.46153846153846,86.5,93.625,86.3,77.625,84.77777777777777,92.42857142857143,3.0,96.85714285714286,94.16666666666667,90.0,33.34,36.94,36.92999999999999,35.545,58.09777777777778,31.490000000000002,0.01,36.83,41.24,38.34,24.2,30.19625,27.547000000000004,33.94,43.5,22.97,0.01,32.27,36.784166666666664,31.98,2.0,19.5,2.9,2.375,4.222222222222222,5.142857142857143,0.0,5.285714285714286,3.75,6.384615384615385,25.33775946275946,75.6420634920635,35.300396825396824,29.13677380952381,5.590262515262515,413.31647239833177
2018-01-01 00:15:00,25.666666666666668,30.636363636363637,26.555555555555557,20.11111111111111,54.92857142857143,28.285714285714285,0.0,34.857142857142854,35.57142857142857,21.125,86.5,94.54545454545455,85.88888888888889,77.88888888888889,84.85714285714286,92.42857142857143,3.0,96.85714285714286,94.57142857142857,89.5,33.34,36.946363636363635,36.93111111111111,35.55,58.105000000000004,31.490000000000002,0.01,36.83,41.24857142857143,38.34,24.2,30.204545454545453,27.549999999999997,33.94777777777778,43.50285714285714,22.97,0.01,32.27,36.79,31.98,2.0,15.090909090909092,1.8888888888888888,1.8888888888888888,3.0,5.142857142857143,0.0,5.285714285714286,2.7142857142857144,2.75,26.824337121212118,77.09397546897547,35.05888077200578,28.523147546897544,3.6666215728715734,434.1591757121873
2018-01-01 00:20:00,29.625,27.5,22.714285714285715,21.88888888888889,53.111111111111114,28.285714285714285,0.0,34.857142857142854,29.75,24.46153846153846,88.875,92.33333333333333,87.0,80.44444444444444,85.66666666666667,92.42857142857143,3.0,96.85714285714286,94.66666666666667,91.84615384615384,33.34,36.958333333333336,36.94,35.556666666666665,58.11555555555555,31.490000000000002,0.01,36.83,41.251666666666665,38.34,24.21,30.22,27.550000000000004,33.95333333333334,43.510000000000005,22.97,0.01,32.27,36.79666666666667,31.983076923076922,3.125,5.833333333333333,1.4285714285714286,1.8888888888888888,3.2222222222222223,5.142857142857143,0.0,5.285714285714286,2.4166666666666665,2.6153846153846154,26.370726495726494,79.58453737620404,34.66691358024692,27.911452991452993,2.8525471442138106,425.5170806405025
2018-01-01 00:25:00,27.5,30.90909090909091,24.90909090909091,20.727272727272727,55.666666666666664,28.125,0.0,34.857142857142854,29.923076923076923,22.25,88.33333333333333,94.0,87.81818181818181,80.9090909090909,85.33333333333333,93.25,3.0,96.85714285714286,95.15384615384616,92.75,33.35,36.96181818181819,36.942727272727275,35.56,58.123333333333335,31.5,0.01,36.83,41.26,38.35,24.210000000000004,30.229090909090914,27.55818181818182,33.96,43.51333333333333,22.975,0.01,32.27,36.8,31.99,1.8333333333333333,4.0,1.8181818181818181,2.0,3.3333333333333335,7.25,0.0,5.285714285714286,2.3076923076923075,3.25,26.66779979279979,80.06086506086505,34.67309764309764,27.916178451178453,2.865837865837866,418.1708281014396
2018-01-01 00:30:00,24.444444444444443,28.2,20.22222222222222,19.25,50.9,26.454545454545453,0.0,34.857142857142854,25.41176470588235,19.75,86.88888888888889,89.9,82.88888888888889,78.375,84.3,93.0,3.0,96.85714285714286,87.82352941176471,92.83333333333333,33.35,36.970000000000006,36.95,35.56375,58.13000000000001,31.5,0.01,36.83,41.26,38.35,24.209999999999997,30.240999999999996,27.559999999999995,33.96875,43.52,22.98,0.01,32.27,36.801764705882356,31.99,1.6666666666666667,4.7,1.8888888888888888,2.25,4.8,4.545454545454546,0.0,5.285714285714286,3.235294117647059,3.5,23.84810853634383,77.66773783587512,34.67597222222223,27.9201683006536,2.954033802073018,439.12596072259385
2018-01-01 00:35:00,23.0,23.923076923076923,12.0,16.636363636363637,44.53846153846154,23.2,0.0,34.857142857142854,18.77777777777778,16.285714285714285,85.83333333333333,88.3076923076923,80.14285714285714,76.45454545454545,81.38461538461539,91.6,3.0,96.85714285714286,85.22222222222223,91.0,33.35,36.975384615384606,36.95,35.57,58.136923076923075,31.5,0.01,36.83,41.263333333333335,38.35000000000001,24.209999999999997,30.25307692307692,27.56,33.97090909090909,43.52538461538462,22.98,0.01,32.27,36.81,31.990000000000002,1.5,10.153846153846153,2.2857142857142856,1.4545454545454546,4.461538461538462,3.8,0.0,5.285714285714286,2.3333333333333335,3.2857142857142856,19.81793268459935,75.88280731614064,34.67840455840456,27.923263403263405,3.2527435527435524,444.760263061479
2018-01-01 00:40:00,13.428571428571429,23.25,17.545454545454547,17.363636363636363,50.833333333333336,24.285714285714285,0.07142857142857142,34.857142857142854,28.692307692307693,24.454545454545453,89.57142857142857,89.875,83.54545454545455,79.0909090909091,82.5,94.0,3.0,96.85714285714286,87.15384615384616,93.0,33.35,36.9825,36.96,35.57090909090909,58.14333333333334,31.51,0.01,36.83,41.269999999999996,38.35454545454546,24.210000000000004,30.265000000000004,27.56,33.97999999999999,43.53,22.98,0.01,32.27,36.81,31.996363636363636,1.0,15.25,1.7272727272727273,2.8181818181818183,2.75,3.142857142857143,0.0,5.285714285714286,3.230769230769231,3.1818181818181817,22.21388796388796,77.9707375957376,34.683476430976434,27.926818181818184,3.6778776778776776,430.99479517514897
2018-01-01 00:45:00,22.214285714285715,24.428571428571427,20.285714285714285,19.77777777777778,48.23076923076923,26.0,0.0,34.857142857142854,33.142857142857146,29.5,87.5,89.0,83.28571428571429,77.88888888888889,82.23076923076923,93.0,3.0,96.85714285714286,86.57142857142857,91.6,33.36,36.99,36.96,35.58,58.14999999999999,31.51,0.009999999999999998,36.83,41.269999999999996,38.36,24.212142857142858,30.270000000000003,27.564285714285713,33.986666666666665,43.53153846153847,22.987999999999996,0.009999999999999998,32.27,36.81,32.0,1.0714285714285714,10.571428571428571,1.1428571428571428,14.333333333333334,3.076923076923077,3.1,0.0,5.285714285714286,2.4285714285714284,2.5,24.842219508886174,77.11964455297789,34.687777777777775,27.930292633292634,4.2471713471713475,434.4735665853965
